MODALIDADE,ÁREA DE CONHECIMENTO,ANO,REMUNERAÇÃO MÉDIA
Mestrado,Ciências Agrárias,2009,5.217
Mestrado,Ciências Agrárias,2010,6.022
Mestrado,Ciências Agrárias,2011,6.334
Mestrado,Ciências Agrárias,2012,6.873
Mestrado,Ciências Agrárias,2013,7.290
Mestrado,Ciências Agrárias,2014,8.267
Mestrado,Ciências Agrárias,2015,8.711
Mestrado,Ciências Agrárias,2016,9.127
Mestrado,Ciências Agrárias,2017,9.392
Mestrado,Ciências Biológicas,2009,4.813
Mestrado,Ciências Biológicas,2010,5.490
Mestrado,Ciências Biológicas,2011,5.769
Mestrado,Ciências Biológicas,2012,6.157
Mestrado,Ciências Biológicas,2013,6.524
Mestrado,Ciências Biológicas,2014,7.122
Mestrado,Ciências Biológicas,2015,7.589
Mestrado,Ciências Biológicas,2016,8.025
Mestrado,Ciências Biológicas,2017,8.219
Mestrado,Ciências da Saúde,2009,6.425
Mestrado,Ciências da Saúde,2010,7.282
Mestrado,Ciências da Saúde,2011,7.701
Mestrado,Ciências da Saúde,2012,8.151
Mestrado,Ciências da Saúde,2013,8.734
Mestrado,Ciências da Saúde,2014,9.321
Mestrado,Ciências da Saúde,2015,9.907
Mestrado,Ciências da Saúde,2016,10.515
Mestrado,Ciências da Saúde,2017,10.687
Mestrado,Ciências Exatas e da Terra,2009,6.462
Mestrado,Ciências Exatas e da Terra,2010,7.102
Mestrado,Ciências Exatas e da Terra,2011,7.609
Mestrado,Ciências Exatas e da Terra,2012,8.229
Mestrado,Ciências Exatas e da Terra,2013,8.845
Mestrado,Ciências Exatas e da Terra,2014,10.038
Mestrado,Ciências Exatas e da Terra,2015,10.478
Mestrado,Ciências Exatas e da Terra,2016,10.883
Mestrado,Ciências Exatas e da Terra,2017,11.289
Mestrado,Ciências Humanas,2009,5.005
Mestrado,Ciências Humanas,2010,5.630
Mestrado,Ciências Humanas,2011,5.958
Mestrado,Ciências Humanas,2012,6.365
Mestrado,Ciências Humanas,2013,6.827
Mestrado,Ciências Humanas,2014,7.646
Mestrado,Ciências Humanas,2015,8.074
Mestrado,Ciências Humanas,2016,8.331
Mestrado,Ciências Humanas,2017,8.645
Mestrado,Ciências Sociais Aplicadas,2009,9.304
Mestrado,Ciências Sociais Aplicadas,2010,9.992
Mestrado,Ciências Sociais Aplicadas,2011,10.488
Mestrado,Ciências Sociais Aplicadas,2012,11.086
Mestrado,Ciências Sociais Aplicadas,2013,11.640
Mestrado,Ciências Sociais Aplicadas,2014,12.413
Mestrado,Ciências Sociais Aplicadas,2015,13.337
Mestrado,Ciências Sociais Aplicadas,2016,13.858
Mestrado,Ciências Sociais Aplicadas,2017,14.179
Mestrado,Engenharias,2009,7.887
Mestrado,Engenharias,2010,8.723
Mestrado,Engenharias,2011,9.337
Mestrado,Engenharias,2012,10.060
Mestrado,Engenharias,2013,10.887
Mestrado,Engenharias,2014,12.371
Mestrado,Engenharias,2015,12.645
Mestrado,Engenharias,2016,13.206
Mestrado,Engenharias,2017,13.475
Mestrado,"Linguística, Letras e Artes",2009,4.301
Mestrado,"Linguística, Letras e Artes",2010,4.960
Mestrado,"Linguística, Letras e Artes",2011,5.270
Mestrado,"Linguística, Letras e Artes",2012,5.633
Mestrado,"Linguística, Letras e Artes",2013,6.068
Mestrado,"Linguística, Letras e Artes",2014,6.805
Mestrado,"Linguística, Letras e Artes",2015,7.375
Mestrado,"Linguística, Letras e Artes",2016,7.615
Mestrado,"Linguística, Letras e Artes",2017,8.026
Mestrado,Multidisciplinar,2009,6.016
Mestrado,Multidisciplinar,2010,6.721
Mestrado,Multidisciplinar,2011,7.127
Mestrado,Multidisciplinar,2012,7.592
Mestrado,Multidisciplinar,2013,7.998
Mestrado,Multidisciplinar,2014,8.867
Mestrado,Multidisciplinar,2015,9.184
Mestrado,Multidisciplinar,2016,9.478
Mestrado,Multidisciplinar,2017,9.641
Doutorado,Ciências Agrárias,2009,8.345
Doutorado,Ciências Agrárias,2010,10.561
Doutorado,Ciências Agrárias,2011,11.123
Doutorado,Ciências Agrárias,2012,12.339
Doutorado,Ciências Agrárias,2013,13.008
Doutorado,Ciências Agrárias,2014,14.160
Doutorado,Ciências Agrárias,2015,14.819
Doutorado,Ciências Agrárias,2016,15.780
Doutorado,Ciências Agrárias,2017,16.511
Doutorado,Ciências Biológicas,2009,8.039
Doutorado,Ciências Biológicas,2010,9.923
Doutorado,Ciências Biológicas,2011,10.319
Doutorado,Ciências Biológicas,2012,10.942
Doutorado,Ciências Biológicas,2013,11.928
Doutorado,Ciências Biológicas,2014,12.911
Doutorado,Ciências Biológicas,2015,13.439
Doutorado,Ciências Biológicas,2016,14.385
Doutorado,Ciências Biológicas,2017,14.923
Doutorado,Ciências da Saúde,2009,8.708
Doutorado,Ciências da Saúde,2010,10.405
Doutorado,Ciências da Saúde,2011,11.009
Doutorado,Ciências da Saúde,2012,11.427
Doutorado,Ciências da Saúde,2013,12.444
Doutorado,Ciências da Saúde,2014,13.374
Doutorado,Ciências da Saúde,2015,13.980
Doutorado,Ciências da Saúde,2016,14.904
Doutorado,Ciências da Saúde,2017,15.396
Doutorado,Ciências Exatas e da Terra,2009,8.313
Doutorado,Ciências Exatas e da Terra,2010,10.421
Doutorado,Ciências Exatas e da Terra,2011,10.894
Doutorado,Ciências Exatas e da Terra,2012,11.321
Doutorado,Ciências Exatas e da Terra,2013,12.595
Doutorado,Ciências Exatas e da Terra,2014,13.938
Doutorado,Ciências Exatas e da Terra,2015,14.553
Doutorado,Ciências Exatas e da Terra,2016,15.540
Doutorado,Ciências Exatas e da Terra,2017,16.486
Doutorado,Ciências Humanas,2009,8.117
Doutorado,Ciências Humanas,2010,10.125
Doutorado,Ciências Humanas,2011,10.602
Doutorado,Ciências Humanas,2012,10.905
Doutorado,Ciências Humanas,2013,11.957
Doutorado,Ciências Humanas,2014,13.077
Doutorado,Ciências Humanas,2015,13.770
Doutorado,Ciências Humanas,2016,14.557
Doutorado,Ciências Humanas,2017,15.315
Doutorado,Ciências Sociais Aplicadas,2009,11.425
Doutorado,Ciências Sociais Aplicadas,2010,13.125
Doutorado,Ciências Sociais Aplicadas,2011,13.771
Doutorado,Ciências Sociais Aplicadas,2012,14.150
Doutorado,Ciências Sociais Aplicadas,2013,15.153
Doutorado,Ciências Sociais Aplicadas,2014,16.019
Doutorado,Ciências Sociais Aplicadas,2015,16.989
Doutorado,Ciências Sociais Aplicadas,2016,17.855
Doutorado,Ciências Sociais Aplicadas,2017,18.411
Doutorado,Engenharias,2009,9.450
Doutorado,Engenharias,2010,11.564
Doutorado,Engenharias,2011,12.176
Doutorado,Engenharias,2012,12.635
Doutorado,Engenharias,2013,13.969
Doutorado,Engenharias,2014,15.323
Doutorado,Engenharias,2015,15.916
Doutorado,Engenharias,2016,16.834
Doutorado,Engenharias,2017,17.713
Doutorado,"Linguística, Letras e Artes",2009,7.333
Doutorado,"Linguística, Letras e Artes",2010,9.329
Doutorado,"Linguística, Letras e Artes",2011,9.870
Doutorado,"Linguística, Letras e Artes",2012,10.221
Doutorado,"Linguística, Letras e Artes",2013,11.461
Doutorado,"Linguística, Letras e Artes",2014,12.618
Doutorado,"Linguística, Letras e Artes",2015,13.131
Doutorado,"Linguística, Letras e Artes",2016,13.885
Doutorado,"Linguística, Letras e Artes",2017,14.605
Doutorado,Multidisciplinar,2009,8.719
Doutorado,Multidisciplinar,2010,10.255
Doutorado,Multidisciplinar,2011,10.724
Doutorado,Multidisciplinar,2012,11.186
Doutorado,Multidisciplinar,2013,12.089
Doutorado,Multidisciplinar,2014,13.174
Doutorado,Multidisciplinar,2015,13.742
Doutorado,Multidisciplinar,2016,14.466
Doutorado,Multidisciplinar,2017,15.204
