MODALIDADE,REGIÃO,ANO,REMUNERAÇÃO MÉDIA MENSAL
Mestres,Norte,2009,6257
Mestres,Norte,2010,7114
Mestres,Norte,2011,7654
Mestres,Norte,2012,7965
Mestres,Norte,2013,8223
Mestres,Norte,2014,8982
Mestres,Norte,2015,9953
Mestres,Norte,2016,10052
Mestres,Norte,2017,10316
Mestres,Nordeste,2009,5954
Mestres,Nordeste,2010,6838
Mestres,Nordeste,2011,7161
Mestres,Nordeste,2012,7601
Mestres,Nordeste,2013,8030
Mestres,Nordeste,2014,9135
Mestres,Nordeste,2015,9400
Mestres,Nordeste,2016,9664
Mestres,Nordeste,2017,10101
Mestres,Sudeste,2009,6883
Mestres,Sudeste,2010,7485
Mestres,Sudeste,2011,7972
Mestres,Sudeste,2012,8593
Mestres,Sudeste,2013,9117
Mestres,Sudeste,2014,10006
Mestres,Sudeste,2015,10453
Mestres,Sudeste,2016,10838
Mestres,Sudeste,2017,11026
Mestres,Sul,2009,5529
Mestres,Sul,2010,6210
Mestres,Sul,2011,6604
Mestres,Sul,2012,7056
Mestres,Sul,2013,7623
Mestres,Sul,2014,8482
Mestres,Sul,2015,8962
Mestres,Sul,2016,9430
Mestres,Sul,2017,9753
Mestres,Centro-Oeste,2009,8158
Mestres,Centro-Oeste,2010,9261
Mestres,Centro-Oeste,2011,9617
Mestres,Centro-Oeste,2012,10082
Mestres,Centro-Oeste,2013,10917
Mestres,Centro-Oeste,2014,11698
Mestres,Centro-Oeste,2015,12615
Mestres,Centro-Oeste,2016,13376
Mestres,Centro-Oeste,2017,13651
Doutores,Norte,2009,9281
Doutores,Norte,2010,11716
Doutores,Norte,2011,12014
Doutores,Norte,2012,12516
Doutores,Norte,2013,13303
Doutores,Norte,2014,14554
Doutores,Norte,2015,15247
Doutores,Norte,2016,15792
Doutores,Norte,2017,16579
Doutores,Nordeste,2009,8273
Doutores,Nordeste,2010,11105
Doutores,Nordeste,2011,11585
Doutores,Nordeste,2012,11936
Doutores,Nordeste,2013,13074
Doutores,Nordeste,2014,14555
Doutores,Nordeste,2015,14973
Doutores,Nordeste,2016,15880
Doutores,Nordeste,2017,16837
Doutores,Sudeste,2009,8719
Doutores,Sudeste,2010,10335
Doutores,Sudeste,2011,10869
Doutores,Sudeste,2012,11403
Doutores,Sudeste,2013,12370
Doutores,Sudeste,2014,13313
Doutores,Sudeste,2015,13862
Doutores,Sudeste,2016,14620
Doutores,Sudeste,2017,15209
Doutores,Sul,2009,8311
Doutores,Sul,2010,10093
Doutores,Sul,2011,10577
Doutores,Sul,2012,11334
Doutores,Sul,2013,12423
Doutores,Sul,2014,13397
Doutores,Sul,2015,14436
Doutores,Sul,2016,15448
Doutores,Sul,2017,16059
Doutores,Centro-Oeste,2009,9991
Doutores,Centro-Oeste,2010,12323
Doutores,Centro-Oeste,2011,12976
Doutores,Centro-Oeste,2012,13282
Doutores,Centro-Oeste,2013,14660
Doutores,Centro-Oeste,2014,15994
Doutores,Centro-Oeste,2015,16628
Doutores,Centro-Oeste,2016,17968
Doutores,Centro-Oeste,2017,18673
