MODALIDADE,REGIÃO,ANO,REMUNERAÇÃO MÉDIA MENSAL
Mestres,Norte,2009,6.257
Mestres,Norte,2010,7.114
Mestres,Norte,2011,7.654
Mestres,Norte,2012,7.965
Mestres,Norte,2013,8.223
Mestres,Norte,2014,8.982
Mestres,Norte,2015,9.953
Mestres,Norte,2016,10.052
Mestres,Norte,2017,10.316
Mestres,Nordeste,2009,5.954
Mestres,Nordeste,2010,6.838
Mestres,Nordeste,2011,7.161
Mestres,Nordeste,2012,7.601
Mestres,Nordeste,2013,8.030
Mestres,Nordeste,2014,9.135
Mestres,Nordeste,2015,9.400
Mestres,Nordeste,2016,9.664
Mestres,Nordeste,2017,10.101
Mestres,Sudeste,2009,6.883
Mestres,Sudeste,2010,7.485
Mestres,Sudeste,2011,7.972
Mestres,Sudeste,2012,8.593
Mestres,Sudeste,2013,9.117
Mestres,Sudeste,2014,10.006
Mestres,Sudeste,2015,10.453
Mestres,Sudeste,2016,10.838
Mestres,Sudeste,2017,11.026
Mestres,Sul,2009,5.529
Mestres,Sul,2010,6.210
Mestres,Sul,2011,6.604
Mestres,Sul,2012,7.056
Mestres,Sul,2013,7.623
Mestres,Sul,2014,8.482
Mestres,Sul,2015,8.962
Mestres,Sul,2016,9.430
Mestres,Sul,2017,9.753
Mestres,Centro-Oeste,2009,8.158
Mestres,Centro-Oeste,2010,9.261
Mestres,Centro-Oeste,2011,9.617
Mestres,Centro-Oeste,2012,10.082
Mestres,Centro-Oeste,2013,10.917
Mestres,Centro-Oeste,2014,11.698
Mestres,Centro-Oeste,2015,12.615
Mestres,Centro-Oeste,2016,13.376
Mestres,Centro-Oeste,2017,13.651
Doutores,Norte,2009,9.281
Doutores,Norte,2010,11.716
Doutores,Norte,2011,12.014
Doutores,Norte,2012,12.516
Doutores,Norte,2013,13.303
Doutores,Norte,2014,14.554
Doutores,Norte,2015,15.247
Doutores,Norte,2016,15.792
Doutores,Norte,2017,16.579
Doutores,Nordeste,2009,8.273
Doutores,Nordeste,2010,11.105
Doutores,Nordeste,2011,11.585
Doutores,Nordeste,2012,11.936
Doutores,Nordeste,2013,13.074
Doutores,Nordeste,2014,14.555
Doutores,Nordeste,2015,14.973
Doutores,Nordeste,2016,15.880
Doutores,Nordeste,2017,16.837
Doutores,Sudeste,2009,8.719
Doutores,Sudeste,2010,10.335
Doutores,Sudeste,2011,10.869
Doutores,Sudeste,2012,11.403
Doutores,Sudeste,2013,12.370
Doutores,Sudeste,2014,13.313
Doutores,Sudeste,2015,13.862
Doutores,Sudeste,2016,14.620
Doutores,Sudeste,2017,15.209
Doutores,Sul,2009,8.311
Doutores,Sul,2010,10.093
Doutores,Sul,2011,10.577
Doutores,Sul,2012,11.334
Doutores,Sul,2013,12.423
Doutores,Sul,2014,13.397
Doutores,Sul,2015,14.436
Doutores,Sul,2016,15.448
Doutores,Sul,2017,16.059
Doutores,Centro-Oeste,2009,9.991
Doutores,Centro-Oeste,2010,12.323
Doutores,Centro-Oeste,2011,12.976
Doutores,Centro-Oeste,2012,13.282
Doutores,Centro-Oeste,2013,14.660
Doutores,Centro-Oeste,2014,15.994
Doutores,Centro-Oeste,2015,16.628
Doutores,Centro-Oeste,2016,17.968
Doutores,Centro-Oeste,2017,18.673
