MODALIDADE,ÁREA DE CONHECIMENTO,ANO,REMUNERAÇÃO MÉDIA
Mestrado,Ciências Agrárias,2009,5217
Mestrado,Ciências Agrárias,2010,6022
Mestrado,Ciências Agrárias,2011,6334
Mestrado,Ciências Agrárias,2012,6873
Mestrado,Ciências Agrárias,2013,7290
Mestrado,Ciências Agrárias,2014,8267
Mestrado,Ciências Agrárias,2015,8711
Mestrado,Ciências Agrárias,2016,9127
Mestrado,Ciências Agrárias,2017,9392
Mestrado,Ciências Biológicas,2009,4813
Mestrado,Ciências Biológicas,2010,5490
Mestrado,Ciências Biológicas,2011,5769
Mestrado,Ciências Biológicas,2012,6157
Mestrado,Ciências Biológicas,2013,6524
Mestrado,Ciências Biológicas,2014,7122
Mestrado,Ciências Biológicas,2015,7589
Mestrado,Ciências Biológicas,2016,8025
Mestrado,Ciências Biológicas,2017,8219
Mestrado,Ciências da Saúde,2009,6425
Mestrado,Ciências da Saúde,2010,7282
Mestrado,Ciências da Saúde,2011,7701
Mestrado,Ciências da Saúde,2012,8151
Mestrado,Ciências da Saúde,2013,8734
Mestrado,Ciências da Saúde,2014,9321
Mestrado,Ciências da Saúde,2015,9907
Mestrado,Ciências da Saúde,2016,10515
Mestrado,Ciências da Saúde,2017,10687
Mestrado,Ciências Exatas e da Terra,2009,6462
Mestrado,Ciências Exatas e da Terra,2010,7102
Mestrado,Ciências Exatas e da Terra,2011,7609
Mestrado,Ciências Exatas e da Terra,2012,8229
Mestrado,Ciências Exatas e da Terra,2013,8845
Mestrado,Ciências Exatas e da Terra,2014,10038
Mestrado,Ciências Exatas e da Terra,2015,10478
Mestrado,Ciências Exatas e da Terra,2016,10883
Mestrado,Ciências Exatas e da Terra,2017,11289
Mestrado,Ciências Humanas,2009,5005
Mestrado,Ciências Humanas,2010,5630
Mestrado,Ciências Humanas,2011,5958
Mestrado,Ciências Humanas,2012,6365
Mestrado,Ciências Humanas,2013,6827
Mestrado,Ciências Humanas,2014,7646
Mestrado,Ciências Humanas,2015,8074
Mestrado,Ciências Humanas,2016,8331
Mestrado,Ciências Humanas,2017,8645
Mestrado,Ciências Sociais Aplicadas,2009,9304
Mestrado,Ciências Sociais Aplicadas,2010,9992
Mestrado,Ciências Sociais Aplicadas,2011,10488
Mestrado,Ciências Sociais Aplicadas,2012,11086
Mestrado,Ciências Sociais Aplicadas,2013,11640
Mestrado,Ciências Sociais Aplicadas,2014,12413
Mestrado,Ciências Sociais Aplicadas,2015,13337
Mestrado,Ciências Sociais Aplicadas,2016,13858
Mestrado,Ciências Sociais Aplicadas,2017,14179
Mestrado,Engenharias,2009,7887
Mestrado,Engenharias,2010,8723
Mestrado,Engenharias,2011,9337
Mestrado,Engenharias,2012,10060
Mestrado,Engenharias,2013,10887
Mestrado,Engenharias,2014,12371
Mestrado,Engenharias,2015,12645
Mestrado,Engenharias,2016,13206
Mestrado,Engenharias,2017,13475
Mestrado,"Linguística, Letras e Artes",2009,4301
Mestrado,"Linguística, Letras e Artes",2010,4960
Mestrado,"Linguística, Letras e Artes",2011,5270
Mestrado,"Linguística, Letras e Artes",2012,5633
Mestrado,"Linguística, Letras e Artes",2013,6068
Mestrado,"Linguística, Letras e Artes",2014,6805
Mestrado,"Linguística, Letras e Artes",2015,7375
Mestrado,"Linguística, Letras e Artes",2016,7615
Mestrado,"Linguística, Letras e Artes",2017,8026
Mestrado,Multidisciplinar,2009,6016
Mestrado,Multidisciplinar,2010,6721
Mestrado,Multidisciplinar,2011,7127
Mestrado,Multidisciplinar,2012,7592
Mestrado,Multidisciplinar,2013,7998
Mestrado,Multidisciplinar,2014,8867
Mestrado,Multidisciplinar,2015,9184
Mestrado,Multidisciplinar,2016,9478
Mestrado,Multidisciplinar,2017,9641
Doutorado,Ciências Agrárias,2009,8345
Doutorado,Ciências Agrárias,2010,10561
Doutorado,Ciências Agrárias,2011,11123
Doutorado,Ciências Agrárias,2012,12339
Doutorado,Ciências Agrárias,2013,13008
Doutorado,Ciências Agrárias,2014,14160
Doutorado,Ciências Agrárias,2015,14819
Doutorado,Ciências Agrárias,2016,15780
Doutorado,Ciências Agrárias,2017,16511
Doutorado,Ciências Biológicas,2009,8039
Doutorado,Ciências Biológicas,2010,9923
Doutorado,Ciências Biológicas,2011,10319
Doutorado,Ciências Biológicas,2012,10942
Doutorado,Ciências Biológicas,2013,11928
Doutorado,Ciências Biológicas,2014,12911
Doutorado,Ciências Biológicas,2015,13439
Doutorado,Ciências Biológicas,2016,14385
Doutorado,Ciências Biológicas,2017,14923
Doutorado,Ciências da Saúde,2009,8708
Doutorado,Ciências da Saúde,2010,10405
Doutorado,Ciências da Saúde,2011,11009
Doutorado,Ciências da Saúde,2012,11427
Doutorado,Ciências da Saúde,2013,12444
Doutorado,Ciências da Saúde,2014,13374
Doutorado,Ciências da Saúde,2015,13980
Doutorado,Ciências da Saúde,2016,14904
Doutorado,Ciências da Saúde,2017,15396
Doutorado,Ciências Exatas e da Terra,2009,8313
Doutorado,Ciências Exatas e da Terra,2010,10421
Doutorado,Ciências Exatas e da Terra,2011,10894
Doutorado,Ciências Exatas e da Terra,2012,11321
Doutorado,Ciências Exatas e da Terra,2013,12595
Doutorado,Ciências Exatas e da Terra,2014,13938
Doutorado,Ciências Exatas e da Terra,2015,14553
Doutorado,Ciências Exatas e da Terra,2016,15540
Doutorado,Ciências Exatas e da Terra,2017,16486
Doutorado,Ciências Humanas,2009,8117
Doutorado,Ciências Humanas,2010,10125
Doutorado,Ciências Humanas,2011,10602
Doutorado,Ciências Humanas,2012,10905
Doutorado,Ciências Humanas,2013,11957
Doutorado,Ciências Humanas,2014,13077
Doutorado,Ciências Humanas,2015,13770
Doutorado,Ciências Humanas,2016,14557
Doutorado,Ciências Humanas,2017,15315
Doutorado,Ciências Sociais Aplicadas,2009,11425
Doutorado,Ciências Sociais Aplicadas,2010,13125
Doutorado,Ciências Sociais Aplicadas,2011,13771
Doutorado,Ciências Sociais Aplicadas,2012,14150
Doutorado,Ciências Sociais Aplicadas,2013,15153
Doutorado,Ciências Sociais Aplicadas,2014,16019
Doutorado,Ciências Sociais Aplicadas,2015,16989
Doutorado,Ciências Sociais Aplicadas,2016,17855
Doutorado,Ciências Sociais Aplicadas,2017,18411
Doutorado,Engenharias,2009,9450
Doutorado,Engenharias,2010,11564
Doutorado,Engenharias,2011,12176
Doutorado,Engenharias,2012,12635
Doutorado,Engenharias,2013,13969
Doutorado,Engenharias,2014,15323
Doutorado,Engenharias,2015,15916
Doutorado,Engenharias,2016,16834
Doutorado,Engenharias,2017,17713
Doutorado,"Linguística, Letras e Artes",2009,7333
Doutorado,"Linguística, Letras e Artes",2010,9329
Doutorado,"Linguística, Letras e Artes",2011,9870
Doutorado,"Linguística, Letras e Artes",2012,10221
Doutorado,"Linguística, Letras e Artes",2013,11461
Doutorado,"Linguística, Letras e Artes",2014,12618
Doutorado,"Linguística, Letras e Artes",2015,13131
Doutorado,"Linguística, Letras e Artes",2016,13885
Doutorado,"Linguística, Letras e Artes",2017,14605
Doutorado,Multidisciplinar,2009,8719
Doutorado,Multidisciplinar,2010,10255
Doutorado,Multidisciplinar,2011,10724
Doutorado,Multidisciplinar,2012,11186
Doutorado,Multidisciplinar,2013,12089
Doutorado,Multidisciplinar,2014,13174
Doutorado,Multidisciplinar,2015,13742
Doutorado,Multidisciplinar,2016,14466
Doutorado,Multidisciplinar,2017,15204
